Vuelo,Tipo Aeronave,Pasajeros,Estado
HK0001,papi juan,62,En aproximación
HK0002,General,12,Programado
HK0003,Turbohélice,38,En plataforma
HK0004,papi juan,62,En aproximación
HK0005,General,12,Programado
HK0006,Turbohélice,38,En plataforma
HK0007,papi juan,62,En aproximación
HK0008,General,12,Programado
HK0009,Turbohélice,38,En plataforma
HK0010,papi juan,62,En aproximación
HK0011,General,12,Programado
HK0012,Turbohélice,38,En plataforma
HK0013,papi juan,62,En aproximación
HK0014,General,12,Programado
HK0015,Turbohélice,38,En plataforma
HK0016,papi juan,62,En aproximación
HK0017,General,12,Programado
HK0018,Turbohélice,38,En plataforma
HK0019,papi juan,62,En aproximación
HK0020,General,12,Programado
HK0021,Turbohélice,38,En plataforma
HK0022,papi juan,62,En aproximación
HK0023,General,12,Programado
HK0024,Turbohélice,38,En plataforma
HK0025,papi juan,62,En aproximación
HK0026,General,12,Programado
HK0027,Turbohélice,38,En plataforma
HK0028,papi juan,62,En aproximación
HK0029,General,12,Programado
HK0030,Turbohélice,38,En plataforma
HK0031,papi juan,62,En aproximación
HK0032,General,12,Programado
HK0033,Turbohélice,38,En plataforma
HK0034,papi juan,62,En aproximación
HK0035,General,12,Programado
HK0036,Turbohélice,38,En plataforma
HK0037,papi juan,62,En aproximación
HK0038,General,12,Programado
HK0039,Turbohélice,38,En plataforma
HK0040,papi juan,62,En aproximación
HK0041,General,12,Programado
HK0042,Turbohélice,38,En plataforma
HK0043,papi juan,62,En aproximación
HK0044,General,12,Programado
HK0045,Turbohélice,38,En plataforma
HK0046,papi juan,62,En aproximación
HK0047,General,12,Programado
HK0048,Turbohélice,38,En plataforma
HK0049,papi juan,62,En aproximación
HK0050,General,12,Programado
HK0051,Turbohélice,38,En plataforma
HK0052,papi juan,62,En aproximación
HK0053,General,12,Programado
HK0054,Turbohélice,38,En plataforma
HK0055,papi juan,62,En aproximación
HK0056,General,12,Programado
HK0057,Turbohélice,38,En plataforma
HK0058,papi juan,62,En aproximación
HK0059,General,12,Programado
HK0060,Turbohélice,38,En plataforma
HK0061,papi juan,62,En aproximación
HK0062,General,12,Programado
HK0063,Turbohélice,38,En plataforma
HK0064,papi juan,62,En aproximación
HK0065,General,12,Programado
HK0066,Turbohélice,38,En plataforma
HK0067,papi juan,62,En aproximación
HK0068,General,12,Programado
HK0069,Turbohélice,38,En plataforma
HK0070,papi juan,62,En aproximación
HK0071,General,12,Programado
HK0072,Turbohélice,38,En plataforma
HK0073,papi juan,62,En aproximación
HK0074,General,12,Programado
HK0075,Turbohélice,38,En plataforma
HK0076,papi juan,62,En aproximación
HK0077,General,12,Programado
HK0078,Turbohélice,38,En plataforma
HK0079,papi juan,62,En aproximación
HK0080,General,12,Programado
HK0081,Turbohélice,38,En plataforma
HK0082,papi juan,62,En aproximación
HK0083,General,12,Programado
HK0084,Turbohélice,38,En plataforma
HK0085,papi juan,62,En aproximación
HK0086,General,12,Programado
HK0087,Turbohélice,38,En plataforma
HK0088,papi juan,62,En aproximación
HK0089,General,12,Programado
HK0090,Turbohélice,38,En plataforma
HK0091,papi juan,62,En aproximación
HK0092,General,12,Programado
HK0093,Turbohélice,38,En plataforma
HK0094,papi juan,62,En aproximación
HK0095,General,12,Programado
HK0096,Turbohélice,38,En plataforma
HK0097,papi juan,62,En aproximación
HK0098,General,12,Programado
